"Id","UserId","Avatar","Author","Content","Url","ReactionsCount","Depth","SubCommentsCount","CommentAt"
"Y29tbWVudDo4OTUwMjQzMTkzMzAyOTZfNzQ5MDg5NDIxNDM3MjI0NA==","100064682077436","https://scontent.fnap3-1.fna.fbcdn.net/v/t39.30808-1/357203683_659159782916752_2284618644355142759_n.jpg?stp=cp0_dst-jpg_s64x64_tt6&_nc_cat=102&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=g-lV3PLFlCgQ7kNvgEFNL97&_nc_zt=24&_nc_ht=scontent.fnap3-1.fna&_nc_gid=APplbtF8ajWqhTrpJR9w3AP&oh=00_AYAXUFzdPkFUe4JprDZPzT_R6bqPhUlU4a64FJoNSzbttA&oe=67A022BB","Daily Mail","Read more: https://trib.al/wgraClX","https://www.facebook.com/DailyMail/posts/pfbid0Ed6KnohwwCXzwxWEDUZEayD5WAraqUz9jewHwmq9SgHC1w4KsDonbHMkrWrKXjkxl?comment_id=7490894214372244","1","0","0","06/25/2024 10:27:00 AM"
"Y29tbWVudDo4OTUwMjQzMTkzMzAyOTZfMjE5MzkzNTQxNDI4MjQyMA==","100079188431857","https://scontent.fnap3-1.fna.fbcdn.net/v/t39.30808-1/472440745_588201290496147_2965691302967001416_n.jpg?stp=cp0_dst-jpg_p64x64_tt6&_nc_cat=1&ccb=1-7&_nc_sid=e99d92&_nc_ohc=8spG6ehXYv0Q7kNvgGy7Rxh&_nc_zt=24&_nc_ht=scontent.fnap3-1.fna&_nc_gid=APplbtF8ajWqhTrpJR9w3AP&oh=00_AYAsRwWAARErTj7YhQE2PXsDQwK6jn0uK-wv7C6MxrwKJA&oe=67A0312E","Michael Gorman","That's enough internet for today","https://www.facebook.com/DailyMail/posts/pfbid0Ed6KnohwwCXzwxWEDUZEayD5WAraqUz9jewHwmq9SgHC1w4KsDonbHMkrWrKXjkxl?comment_id=2193935414282420","15","0","2","06/25/2024 05:46:39 AM"
"Y29tbWVudDo4OTUwMjQzMTkzMzAyOTZfODUxMjA3NjczNTk0Mjg3","1079461759","https://scontent.fnap3-2.fna.fbcdn.net/v/t39.30808-1/467889427_10230520941622174_3178450610084624217_n.jpg?stp=c0.282.720.716a_cp0_dst-jpg_s64x64_tt6&_nc_cat=110&ccb=1-7&_nc_sid=e99d92&_nc_ohc=aozKa7Q4GwUQ7kNvgGf9DuT&_nc_zt=24&_nc_ht=scontent.fnap3-2.fna&_nc_gid=APplbtF8ajWqhTrpJR9w3AP&oh=00_AYCPt3HFiMHCKvULARJpkRcQqJlORDzzy6_w16UUyhf8Ew&oe=67A02375","Leslie Coker LeMense","That plaster of Paris almost looks real lol","https://www.facebook.com/DailyMail/posts/pfbid0Ed6KnohwwCXzwxWEDUZEayD5WAraqUz9jewHwmq9SgHC1w4KsDonbHMkrWrKXjkxl?comment_id=851207673594287","22","0","0","06/25/2024 05:52:47 AM"
"Y29tbWVudDo4OTUwMjQzMTkzMzAyOTZfMTExMTg5MjE0MzIwNTU0Nw==","551420495","https://scontent.fnap3-2.fna.fbcdn.net/v/t39.30808-1/472171018_10161018455445496_150912444548349200_n.jpg?stp=cp0_dst-jpg_s64x64_tt6&_nc_cat=109&ccb=1-7&_nc_sid=e99d92&_nc_ohc=a_4uxeX1zQ4Q7kNvgE8smkH&_nc_zt=24&_nc_ht=scontent.fnap3-2.fna&_nc_gid=APplbtF8ajWqhTrpJR9w3AP&oh=00_AYDdFpc-3PYbHLSEDd3vdLOoug8pSuxM6FQcumWFbS-t6A&oe=67A02128","Claire Elizabeth","9th grade art class...","https://www.facebook.com/DailyMail/posts/pfbid0Ed6KnohwwCXzwxWEDUZEayD5WAraqUz9jewHwmq9SgHC1w4KsDonbHMkrWrKXjkxl?comment_id=1111892143205547","3","0","0","06/25/2024 10:33:03 AM"
"Y29tbWVudDo4OTUwMjQzMTkzMzAyOTZfMTIxMzg5NDc1OTc4MjA2OA==","100005303173436","https://scontent.fnap3-1.fna.fbcdn.net/v/t39.30808-1/468881308_2818691211650957_1889161087214952715_n.jpg?stp=cp0_dst-jpg_s64x64_tt6&_nc_cat=105&ccb=1-7&_nc_sid=e99d92&_nc_ohc=bfgGK79uUwcQ7kNvgH5PHtx&_nc_zt=24&_nc_ht=scontent.fnap3-1.fna&_nc_gid=APplbtF8ajWqhTrpJR9w3AP&oh=00_AYCjWkJsHIuf77ot7ykZWlaMu8UaFgOtlwMQdvcQU7w7iQ&oe=67A022FE","Stephen Balcombe","No five finger discount for him","https://www.facebook.com/DailyMail/posts/pfbid0Ed6KnohwwCXzwxWEDUZEayD5WAraqUz9jewHwmq9SgHC1w4KsDonbHMkrWrKXjkxl?comment_id=1213894759782068","0","0","0","06/25/2024 10:30:01 AM"
"Y29tbWVudDo4OTUwMjQzMTkzMzAyOTZfMTAyNDI1ODQzMjU1MjE4NA==","1149804155","https://scontent.fnap3-1.fna.fbcdn.net/v/t39.30808-1/450354726_10233943142257395_4515453734952204075_n.jpg?stp=cp0_dst-jpg_s64x64_tt6&_nc_cat=105&ccb=1-7&_nc_sid=e99d92&_nc_ohc=oSfEd3rJ0LIQ7kNvgGlWNEF&_nc_zt=24&_nc_ht=scontent.fnap3-1.fna&_nc_gid=APplbtF8ajWqhTrpJR9w3AP&oh=00_AYB97bJCpGwed8qTUbuYndC3YW4xgUvWW5zKVYlIGDhkOA&oe=67A03202","Amber Soucy","Kinda looks like a munk that's done self mummification or a sculpture of one.","https://www.facebook.com/DailyMail/posts/pfbid0Ed6KnohwwCXzwxWEDUZEayD5WAraqUz9jewHwmq9SgHC1w4KsDonbHMkrWrKXjkxl?comment_id=1024258432552184","0","0","0","06/25/2024 11:42:42 AM"
"Y29tbWVudDo4OTUwMjQzMTkzMzAyOTZfMTUxNzI5MTExMjIwMDY5OQ==","100001367837846","https://scontent.fnap3-1.fna.fbcdn.net/v/t1.6435-1/61136371_2176972082358365_35838426888536064_n.jpg?stp=cp0_dst-jpg_s64x64_tt6&_nc_cat=102&ccb=1-7&_nc_sid=e99d92&_nc_ohc=op4n_2hOtGEQ7kNvgHEGUap&_nc_zt=24&_nc_ht=scontent.fnap3-1.fna&_nc_gid=APplbtF8ajWqhTrpJR9w3AP&oh=00_AYDgkEcM1MFPDr4_vlwqpmRDph9a2tJQc4A3yvmsX53Y3A&oe=67C1E00D","Xavier Negron","Where did they find this picture of me","https://www.facebook.com/DailyMail/posts/pfbid0Ed6KnohwwCXzwxWEDUZEayD5WAraqUz9jewHwmq9SgHC1w4KsDonbHMkrWrKXjkxl?comment_id=1517291112200699","1","0","0","06/25/2024 06:20:26 AM"
"Y29tbWVudDo4OTUwMjQzMTkzMzAyOTZfNDgwNTY0NDUxMTkwMTYz","100030001384002","https://scontent.fnap3-1.fna.fbcdn.net/v/t39.30808-1/239473939_589228825420492_2798430128551766736_n.jpg?stp=cp0_dst-jpg_s64x64_tt6&_nc_cat=104&ccb=1-7&_nc_sid=e99d92&_nc_ohc=dBX2FedVWZ8Q7kNvgEkI3nB&_nc_zt=24&_nc_ht=scontent.fnap3-1.fna&_nc_gid=APplbtF8ajWqhTrpJR9w3AP&oh=00_AYDUvm8WO4Eb2AKAdCZ0-k9_arlKWhOXsQK-7yMVbJGk8g&oe=67A0218B","Phillip Fleming","The ""Cardiff Giant"" Was More Believable.","https://www.facebook.com/DailyMail/posts/pfbid0Ed6KnohwwCXzwxWEDUZEayD5WAraqUz9jewHwmq9SgHC1w4KsDonbHMkrWrKXjkxl?comment_id=480564451190163","1","0","0","06/25/2024 01:00:45 PM"
"Y29tbWVudDo4OTUwMjQzMTkzMzAyOTZfMjE0Nzg4MjY2ODkyMjQ2OA==","100049180875449","https://scontent.fnap3-2.fna.fbcdn.net/v/t1.6435-1/91231804_109214370727925_1716513302235840512_n.jpg?stp=cp0_dst-jpg_s64x64_tt6&_nc_cat=109&ccb=1-7&_nc_sid=e99d92&_nc_ohc=ATtBzFW50goQ7kNvgE4BLch&_nc_zt=24&_nc_ht=scontent.fnap3-2.fna&_nc_gid=APplbtF8ajWqhTrpJR9w3AP&oh=00_AYCUzkaTy3rASbF-IIKqKl3Nu4hBD52-MkqqxyMoXY188w&oe=67C1BA19","Akhtar Hossain","Sometimes - Men had 3 fingers,& one eyed.","https://www.facebook.com/DailyMail/posts/pfbid0Ed6KnohwwCXzwxWEDUZEayD5WAraqUz9jewHwmq9SgHC1w4KsDonbHMkrWrKXjkxl?comment_id=2147882668922468","0","0","2","06/25/2024 06:23:12 AM"
"Y29tbWVudDo4OTUwMjQzMTkzMzAyOTZfMjIyMzY0NDkxODAyNzkzMg==","1607761896","https://scontent.fnap3-2.fna.fbcdn.net/v/t39.30808-1/474178315_10231976567069510_5861330078801151727_n.jpg?stp=c0.0.1080.1080a_cp0_dst-jpg_s64x64_tt6&_nc_cat=110&ccb=1-7&_nc_sid=e99d92&_nc_ohc=hc5lseD-PNcQ7kNvgGj6-A7&_nc_zt=24&_nc_ht=scontent.fnap3-2.fna&_nc_gid=APplbtF8ajWqhTrpJR9w3AP&oh=00_AYCGBR0Z2qKPKfjNNniygmSutvJSRgBuvJbB2UoBUYtMOw&oe=67A01E8F","Cheryl Blase","Someone's art sculpture got discovered near the monolith... WOW, now that's something!","https://www.facebook.com/DailyMail/posts/pfbid0Ed6KnohwwCXzwxWEDUZEayD5WAraqUz9jewHwmq9SgHC1w4KsDonbHMkrWrKXjkxl?comment_id=2223644918027932","1","0","1","06/25/2024 06:07:07 AM"
